City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Rochegda,RU,4/11/22 15:16,62.8,43.25,39.06,97,88,5.48
140,Miraflores,MX,4/11/22 15:16,19.2167,-98.8083,66.02,47,97,2.04
141,Yellowknife,CA,4/11/22 15:16,62.456,-114.3525,10.92,67,100,16.11
142,Sitka,US,4/11/22 15:16,57.0531,-135.33,35.49,41,40,25.32
143,Victor Harbor,AU,4/11/22 15:16,-35.5667,138.6167,60.01,75,74,11.5
144,Harper,LR,4/11/22 15:16,4.375,-7.7169,84.88,70,66,8.34
145,Kokemaki,FI,4/11/22 15:16,61.2565,22.3564,40.78,76,49,8.7
146,Montrose,US,4/11/22 15:16,38.4166,-108.2673,41.72,22,69,12.19
147,Itarema,BR,4/11/22 15:16,-2.9248,-39.9167,83.21,77,92,7.78
148,Itoman,JP,4/11/22 15:16,26.1247,127.6694,73.78,92,20,11.5
149,Madera,US,4/11/22 15:16,37.1666,-119.8343,55.53,69,83,5.64
150,Luderitz,NA,4/11/22 15:16,-26.6481,15.1594,73.56,53,5,4.34
151,Codrington,AU,4/11/22 15:16,-38.2667,141.9667,53.35,64,99,6.6
152,Coquimbo,CL,4/11/22 15:16,-29.9533,-71.3436,55.13,94,100,10.36
153,Port Lincoln,AU,4/11/22 15:16,-34.7333,135.8667,62.47,74,100,14.47
154,Altamont,US,4/11/22 15:16,42.2068,-121.7372,30.76,87,75,29.93
155,Abu Dhabi,AE,4/11/22 15:15,24.4667,54.3667,84.22,66,0,4.61
156,Tanete,ID,4/11/22 15:16,-3.9443,119.7848,74.19,92,23,2.86
157,Provideniya,RU,4/11/22 15:16,64.3833,-173.3,20.19,91,95,8.93
158,Saint George,US,4/11/22 15:12,37.1041,-113.5841,46.99,21,0,3.44
159,Takoradi,GH,4/11/22 15:16,4.8845,-1.7554,86.41,66,96,11.99
160,Kharakvasla,IN,4/11/22 15:16,18.4333,73.7667,84.9,37,65,7.43
161,Port Elizabeth,ZA,4/11/22 15:16,-33.918,25.5701,75.09,84,0,11.5
162,Salalah,OM,4/11/22 15:16,17.0151,54.0924,82.49,83,0,5.75
